id,family,name,address,areaCode,zrea,category,catCode,country,email,URLIcono,long,lat,state,town,emtParking,type
2,001,Colón,Plaza de Colón s/n,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6899392,40.4247093,Spain,Madrid,False,Aparcamiento
3,001,Corazón de María II,C/ Corazón de María (final calle),,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6455254,40.4385248,Spain,Madrid,False,Aparcamiento
4,001,Encuentro,Plaza Encuentro,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6513541,40.4054645,Spain,Madrid,False,Aparcamiento
5,001,Nuestra Señora del Recuerdo,"c/ Hiedra, 26",28036 ,Madrid,General,001 ,España,recuerdo@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.679160,40.472181,España,Madrid,True,Aparcamiento
6,001,Corona Boreal,Plaza Corona Boreal y C/ Marqués Camarines,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7832,40.4568,Spain,Madrid,False,Aparcamiento
7,001,Avenida de Portugal,"Avda. de Portugal, s/n. Frente al nº 51",28011 ,Madrid,General,001 ,España,avenida.de.portugal@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.727515,40.415415,España,Madrid,True,Aparcamiento
8,001,Plaza del Carmen,Plaza del Carmen,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7034468,40.4185861,Spain,Madrid,False,Aparcamiento
9,001,Paseo de Recoletos,"Paseo de Recoletos, 4",28001 ,Madrid,General,001 ,España,recoletos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692164729674,40.420692539318,España,Madrid,True,Aparcamiento
10,001,Condesa de Gavia,Plaza Condesa de Gavia,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7019123,40.4490039,Spain,Madrid,False,Aparcamiento
12,001,Almagro,"c/ Almagro, 11",28010 ,Madrid,General,001 ,España,almagro@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692950,40.430390,España,Madrid,True,Aparcamiento
14,001,Luna-Tudescos,P. Sta Mª Soledad Torres Acosta c/v c/Luna),,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7049889,40.4215407,Spain,Madrid,False,Aparcamiento
15,001,Jacinto Benavente,"Plaza Jacinto Benavente, s/n",28012 ,Madrid,General,001 ,España,jacinto.benavente@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.703448,40.414267,España,Madrid,True,Aparcamiento
16,001,América,Avda. América (intercambiador),,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.67669,40.4380932,Spain,Madrid,False,Aparcamiento
17,001,Arquitecto Ribera (Barceló),"C/ Barceló, 2",,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.700464,40.426411,Spain,Madrid,False,Aparcamiento
18,001,Brasil,Avda. Brasil (entre General Yagüe y Pedro Texeira),,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.69374,40.45615,Spain,Madrid,False,Aparcamiento
19,001,Casino de la Reina,C/ Casino,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.70545010,40.4066596,Spain,Madrid,False,Aparcamiento
20,001,Descalzas,Plaza Descalzas y Plaza San Martín,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.707072,40.418441,Spain,Madrid,False,Aparcamiento
21,001,Palacio Municipal de Congresos,"Avda. Capital de España, s/n",,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6160214,40.46190431,Spain,Madrid,False,Aparcamiento
22,001,Orense,"Avda. General Perón, 27",28020 ,Madrid,General,001 ,España,orense@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.694009,40.453019,España,Madrid,True,Aparcamiento
23,001,Daoíz y Velarde,Avda. Ciudad de Barcelona ( C/ Alberche y C/ Téllez),,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6784287,40.4030883,Spain,Madrid,False,Aparcamiento
25,001,Marqués de Salamanca,"Plaza Marques de Salamanca, s/n",28006 ,Madrid,General,001 ,España,salamanca@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.679197,40.430293,España,Madrid,True,Aparcamiento
26,001,Felipe II,Avda. Felipe II y C/ Goya),,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.67567,40.424015,Spain,Madrid,False,Aparcamiento
27,001,Fuencarral,"C/ Fuencarral, 111 (entre 111 Y 121)",,Madrid,General,001 ,España,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.702573,40.4294714,España,Madrid,True,Aparcamiento
28,001,General Yagüe,"Avda. Brasil, 15 Nº15 al 19",,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6939585,40.4543339,Spain,Madrid,False,Aparcamiento
29,001,Hernani,C/ Hernani (entre C/ Orense y Comandante Zorita),,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6999184,40.4482467,Spain,Madrid,False,Aparcamiento
30,001,José Castán Tobeñas,C/ José Castán Tobeñas,,Madrid,General,001 ,Spain,,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.69225,40.46473,Spain,Madrid,False,Aparcamiento
