fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,num_personas,num_personas_hombres,num_personas_mujeres
2024-01-01T00:00:00Z,28079,madrid,1,centro,1,centro,145.411,73.734,71.677
2024-01-01T00:00:00Z,28079,madrid,2,arganzuela,2,arganzuela,156.559,73.311,83.248
2024-01-01T00:00:00Z,28079,madrid,3,retiro,3,retiro,119.757,54.339,65.418
2024-01-01T00:00:00Z,28079,madrid,4,salamanca,4,salamanca,149.778,66.374,83.404
2024-01-01T00:00:00Z,28079,madrid,5,chamartin,5,chamartin,148.111,66.86,81.251
2024-01-01T00:00:00Z,28079,madrid,6,tetuan,6,tetuan,166.211,76.072,90.139
2024-01-01T00:00:00Z,28079,madrid,7,chamberi,7,chamberi,141.984,62.918,79.066
2024-01-01T00:00:00Z,28079,madrid,8,fuencarral-el pardo,8,fuencarral-el pardo,253.898,119.721,134.177
2024-01-01T00:00:00Z,28079,madrid,9,moncloa-aravaca,9,moncloa-aravaca,125.223,58.121,67.102
2024-01-01T00:00:00Z,28079,madrid,10,latina,10,latina,250.396,116.437,133.959
2024-01-01T00:00:00Z,28079,madrid,11,carabanchel,11,carabanchel,274.406,128.997,145.409
2024-01-01T00:00:00Z,28079,madrid,12,usera,12,usera,149.113,70.801,78.312
2024-01-01T00:00:00Z,28079,madrid,13,puente de vallecas,13,puente de vallecas,253.048,120.53,132.518
2024-01-01T00:00:00Z,28079,madrid,14,moratalaz,14,moratalaz,95.123,43.412,51.711
2024-01-01T00:00:00Z,28079,madrid,15,ciudad lineal,15,ciudad lineal,230.035,105.836,124.199
2024-01-01T00:00:00Z,28079,madrid,16,hortaleza,16,hortaleza,205.182,97.439,107.743
2024-01-01T00:00:00Z,28079,madrid,17,villaverde,17,villaverde,167.952,80.563,87.389
2024-01-01T00:00:00Z,28079,madrid,18,villa de vallecas,18,villa de vallecas,122.337,59.153,63.184
2024-01-01T00:00:00Z,28079,madrid,19,vicalvaro,19,vicalvaro,89.772,43.49,46.282
2024-01-01T00:00:00Z,28079,madrid,20,san blas-canillejas,20,san blas-canillejas,166.583,78.823,87.76
2024-01-01T00:00:00Z,28079,madrid,21,barajas,21,barajas,49.612,23.837,25.775
2024-01-01T00:00:00Z,28079,madrid,1,centro,11,palacio,24.332,12.008,12.324
2024-01-01T00:00:00Z,28079,madrid,1,centro,12,embajadores,48.59,25.475,23.115
2024-01-01T00:00:00Z,28079,madrid,1,centro,13,cortes,11.171,5.523,5.648
2024-01-01T00:00:00Z,28079,madrid,1,centro,14,justicia,18.739,9.497,9.242
2024-01-01T00:00:00Z,28079,madrid,1,centro,15,universidad,34.073,16.85,17.223
2024-01-01T00:00:00Z,28079,madrid,1,centro,16,sol,8.506,4.381,4.125
2024-01-01T00:00:00Z,28079,madrid,2,arganzuela,21,imperial,22.668,10.538,12.13
