id,name,openingHours,latitud,longitude
11483771,Aparcamiento disuasorio Aviación Española,Abierto 24 horas,40.38323792632855,-3.783621006318095
10489514,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,Horario de apertura de 6:00 h a 22:00 h los días laborables excepto los días de partido en el estadio Metropolitano,40.434154,-3.598831
11413444,Aparcamiento disuasorio Fuente de la Mora,Abierto 24 horas,40.4844428688153,-3.66450251273440
11544464,Aparcamiento disuasorio Islazul,,40.36521668890186,-3.737923481612698
11413620,Aparcamiento disuasorio Pitis,Abierto 24 horas,40.4941929509737,-3.72723600089653
11544480,Aparcamiento mixto. Alcántara,,40.428193768950756,-3.673778093084516
13470,Aparcamiento mixto. Arquitecto Ribera,,40.426273740022,-3.70037418702346
59060,Aparcamiento mixto. Avenida de América (intercambiador),,40.4381779662151,-3.67683406459837
5898885,Aparcamiento mixto. Avenida de Portugal,Horario de apertura de 6:00 h a 22:00 h los días laborables.,40.4112391063366,-3.73808787568741
13475,Aparcamiento mixto. Brasil,,40.4560925110791,-3.69349688854822
183747,Aparcamiento mixto. Casino de la Reina,,40.40709468568204,-3.7038875277131464
13477,Aparcamiento mixto. Condesa de Gavia,,40.44905426535144,-3.7020861495783635
81736,Aparcamiento mixto. Corona Boreal,,40.4588137783281,-3.78414489510692
183748,Aparcamiento mixto. Daoíz y Velarde,,40.40255344121901,-3.67763144165245
44724,Aparcamiento mixto. Díaz Porlier,,40.434510199279615,-3.6754840133107027
36269,Aparcamiento mixto. Encuentro,,40.4058768185719,--3.65138632197171
13464,Aparcamiento mixto. Felipe II,,40.4242207643363,-3.67342185936768
24809,Aparcamiento mixto. Fernández Shaw,,40.40489977502076,-3.668850975462272
13462,Aparcamiento mixto. Fuencarral,,40.4296270729669,-3.70279096159205
36270,Aparcamiento mixto. Hernani,,40.44817621258857,-3.6976113125092684
13459,Aparcamiento mixto. Jacinto Benavente,,40.4144481124785,-3.70332121750772
13479,Aparcamiento mixto. José Castán Tobeñas,,40.4645483266289,-3.69157198480319
6143690,Aparcamiento mixto. Marqués de Salamanca,,40.4304997416021,-3.67929374257782
182188,Aparcamiento mixto. Miguel Yuste,,40.43429571608524,-3.622514147448957
13465,Aparcamiento mixto. Montalbán,,40.4181859174944,-3.69095813503217
5517342,Aparcamiento mixto. Orense,,40.4530722916738,-3.6941384720253
52114,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',,40.4208058791525,-3.69930167470253
33440,Aparcamiento mixto. Plaza de Oriente,,40.41840695632423,-3.7119903936183274
11544439,Aparcamiento mixto. Plaza de Santo Domingo,,40.42013315230386,-3.7082597874437004
13466,Aparcamiento mixto. Plaza Mayor,,40.4158677606471,-3.70689561392158
36271,Aparcamiento mixto. Presidente Carmona,De lunes a domingo servicio ininterrumpido,40.45251614668263,-3.6956837947248724
13476,Aparcamiento mixto. Recoletos,,40.421397488495096,-3.691841269615146
24193,Aparcamiento mixto. República Dominicana,,40.4588693818589,-3.67651579058803
81828,Aparcamiento mixto. Reyes Magos,,40.408797321706984,-3.6763215894089827
167692,Aparcamiento mixto. San Cayetano,,40.4344244682971,-3.67012877493573
13515,Aparcamiento mixto. San Germán II (antes General Yagüe),,40.4564090502234,-3.69333344796644
19053,Aparcamiento mixto. Sánchez Bustillo,,40.40885884341386,-3.693821482712085
7416748,Aparcamiento mixto. Serrano I,,40.4329452991722,-3.68611338542774
7417028,Aparcamiento mixto. Serrano II,,40.4303442290635,-3.68850808858792
7417052,Aparcamiento mixto. Serrano III,,40.4244268291578,-3.68965177313431
13460,Aparcamiento mixto. Sevilla,,40.41777541448619,-3.7002800119895505
13458,Aparcamiento mixto. Velázquez - Ayala,,40.4272702030791,-3.68408892366904
13457,Aparcamiento mixto. Velázquez - Jorge Juan,,40.4242991698907,-3.68435762446743
183607,Aparcamiento mixto. Verdaguer y García,,40.4397163141475,-3.6566922711780356
13452,Aparcamiento público. Almagro,,40.4298019274054,-3.69323812827144
7393089,Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),,40.44429510303696,-3.6776974842015506
13473,Aparcamiento público. Descalzas,,40.41845756968,-3.70704603703524
13478,Aparcamiento público. Glorieta Puerta de Toledo,,40.407386591674,-3.71001515747525
13467,Aparcamiento público. Las Cortes,,40.41567209145918,-3.695312097854121
13449,Aparcamiento público. Luna - Tudescos (cerrado),,40.4216849699782,-3.70568981924281
13469,Aparcamiento público. Marqués de Urquijo,,40.4299040013269,-3.71881499696004
13451,Aparcamiento público. Mostenses,,40.4227275539507,-3.70883461506948
88141,Aparcamiento público. Museo de la Ciudad,,40.4442297702559,-3.67765536310739
13450,Aparcamiento público. Olavide,,40.432878498188,-3.70103933152522
13454,Aparcamiento público. Plaza de Colón,,40.4254346221439,-3.6884680270103
13463,Aparcamiento público. Plaza de España,,40.4237811996075,-3.71152321262521
13472,Aparcamiento público. Plaza del Carmen (cerrado),,40.418722788943874,-3.7030734062842345
13474,Aparcamiento público. Plaza del Rey,,40.4202104053746,-3.69580666702734
11750494,Aparcamiento público. San Epifanio,,40.4005782139287,-3.71933799002069
13456,Aparcamiento público. Santa Ana (cerrado),,40.4145312089554,-3.70056009896723
10737574,Aparcamiento público. Usera,,40.38728599111143,-3.7063081042559407
13468,Aparcamiento público. Velázquez - Juan Bravo,,40.4317523227148,-3.68345337033197
13453,Aparcamiento público. Villa de París,,40.4251485828521,-3.69239569495104
