register_id,name,created,modified,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
﻿93308083222,Aparcament Estació Barcelona Nord,1993-11-04T00:00:00+01:00,2015-02-23T13:57:07+01:00,9209,C Alí Bei,54,,5,El Fort Pienc,2,Eixample,8013,Barcelona,True,174626,20001,Telèfons,Tel.,932658164,True,,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,431614.34351972415,4582850.549618717,41.39428317007616,2.1819772536329864
﻿75990063447,Aparcament Saba Travessera De Gràcia 17*21,1996-09-18T00:00:00+02:00,2024-10-11T13:14:51.800521+02:00,344101,Trav Gràcia,17,,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8021,Barcelona,True,139897,20005,Telèfons,Atenció al client,662418060,True,Whatsapp,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,428651.9103013854,4582887.332647781,41.394357096989886,2.1465402684895087
﻿92086038672,Aparcament  Bamsa Siracusa,1992-03-10T00:00:00+01:00,2024-10-11T12:58:33.397906+02:00,326201,C Siracusa,39,,31,La Vila De Gràcia,6,Gràcia,8012,Barcelona,True,171861,20005,Telèfons,Atenció al client,662418060,True,Whatsapp,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,429850.1734876189,4583698.099989957,41.4017648067868,2.160778367107828
﻿98301140004,Aparcament Bamsa Tarradellas Ii,1998-10-28T00:00:00+01:00,2024-09-03T18:55:22.823919+02:00,162002,Av Josep Tarradellas,64,,9,La Nova Esquerra De L'eixample,2,Eixample,8029,Barcelona,True,200376,20001,Telèfons,Tel.,902283080,True,,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,428331.42160103045,4582018.126060721,41.38649998993496,2.142809867115534
﻿99400197898,Aparcament Gràcia Motos,2008-01-14T09:18:39+01:00,2015-02-23T14:00:02+01:00,206403,C Gran De Gràcia,190,,31,La Vila De Gràcia,6,Gràcia,8012,Barcelona,True,219383,20001,Telèfons,Tel.,934155753,True,,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,429146.2492905173,4583869.916167505,41.40325056371274,2.152337897961678
﻿99400213399,Aparcament  Bamsa Illa Raval,2008-09-22T13:29:26+02:00,2024-10-11T12:56:06.970991+02:00,310303,C Sant Rafael,15,,1,El Raval,1,Ciutat Vella,8001,Barcelona,True,221084,20005,Telèfons,Atenció al client,662418060,True,Whatsapp,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,430583.85887541086,4581196.7185471775,41.379299348603666,2.1698414264941084
﻿92086027254,Aparcament Bamsa Urgell,1990-02-20T00:00:00+01:00,2024-09-03T18:55:28.600791+02:00,349706,C Comte D'urgell,12,,10,Sant Antoni,2,Eixample,8011,Barcelona,True,167435,20001,Telèfons,Tel.,902283080,True,,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,429968.68285267317,4581216.689225373,41.37942591140186,2.1624828825280162
﻿99400335495,Aparcament Badajoz-glòries,2014-02-05T18:44:18+01:00,2015-02-23T13:03:55+01:00,30500,C Badajoz,154,,66,El Parc I La Llacuna Del Poblenou,10,Sant Martí,8018,Barcelona,True,226062,20005,Telèfons,Atenció al client,933284949,True,,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,432379.8459064096,4583716.325327449,41.40214569463325,2.1910365479757883
﻿99400335491,Aparcament Marqués De Mulhacén,2014-02-05T18:19:59+01:00,2015-02-23T14:04:05+01:00,199400,C Marquès De Mulhacén,51,,21,Pedralbes,4,Les Corts,8034,Barcelona,True,226023,20005,Telèfons,Atenció al client,932050209,True,,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,426014.6859285235,4582893.125024514,41.394170973988224,2.114996855762526
﻿99400162207,My Beautiful Parking,2006-06-15T12:15:39+02:00,2017-12-11T12:54:29+01:00,46205,C Bòria,17,,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,Barcelona,True,216200,20001,Telèfons,Tel.,933041580,True,,63734068,Aparcaments,Planol BCN >> Transports i serveis relacionats >> Aparcaments >> Aparcaments,651,65103010003000,431339.25041259755,4581775.109056444,41.38457355931776,2.178808841656823
